# anchorsX, anchorsY
3.790954059666760713e+03,5.033693246976686169e+02
3.791276516319353050e+03,6.699597092488389762e+02
3.791864596121512477e+03,8.748001393174986333e+02
3.792149183611471472e+03,9.085965516509206736e+02
3.797465405701233522e+03,7.716145968841751710e+02
3.803550214604493704e+03,7.539972907932467479e+02
3.804279777631139495e+03,7.665310152918228823e+02
3.806869269497731693e+03,7.178322783040136983e+02
3.809803616273003627e+03,6.635926346711859196e+02
3.811303419337949890e+03,6.396821757289905008e+02
3.812384151775435839e+03,6.248574172020231572e+02
3.818945044319533736e+03,5.659655114279778445e+02
3.823482531934600047e+03,5.664689399044598304e+02
3.824209540322175599e+03,5.310037063259879915e+02
3.829213063013963620e+03,3.319743672274213964e+02
3.831180523274908865e+03,2.983440992940091974e+02
3.837152965514831067e+03,3.999801466755355364e+02
3.843660327869929461e+03,8.023516902427145396e+02
3.848483906705696882e+03,9.624502709319184532e+02
3.852908696215552027e+03,9.054661534104566272e+02
3.864125048956195315e+03,9.810916501602855533e+02
3.868438786963824441e+03,1.115936185747913896e+03
3.875322348779049207e+03,1.113189187825656973e+03
3.875839432619979107e+03,1.107505700848063952e+03
3.881823227741538176e+03,9.703873368955917158e+02
3.884957888753768657e+03,1.007785896378478355e+03
3.893097783567589431e+03,1.296882536843775824e+03
3.898126426292265933e+03,1.178977920496736260e+03
3.909050632266752473e+03,1.238044022083576010e+03
3.910093870265955502e+03,1.291719711784143556e+03
3.912520474909046698e+03,1.378774972287792934e+03
3.913597273546988617e+03,1.396240973429114547e+03
3.915745229431622192e+03,1.439600743749656885e+03
3.918665465869331456e+03,1.329136730156800240e+03
3.925697325570604335e+03,8.855340994666941015e+02
3.925991957491098219e+03,8.671623589003597772e+02
3.934480290644274191e+03,6.928372568918331353e+02
3.941225011384025947e+03,8.601426696364230793e+02
3.943039584379472217e+03,9.572691933500316281e+02
3.947197841004171096e+03,1.183224639738093856e+03
3.950260117718814854e+03,1.309226485386673630e+03
3.954650226800909422e+03,1.394522192943006758e+03
3.955745217570230579e+03,1.387255575449907383e+03
3.959850831867424859e+03,1.136356823659697739e+03
3.976614375874347843e+03,1.187580504585748031e+03
3.980190656836207836e+03,1.514613916548830048e+03
3.980834596109425547e+03,1.582032535041902975e+03
3.983756866106101825e+03,1.799181717917108926e+03
3.989315090410381799e+03,2.009767436756568486e+03
3.995254187786397779e+03,2.240650130207194252e+03
4.000828453404174070e+03,2.239980951041316075e+03
4.003217897020275814e+03,2.249844700474004185e+03
4.004319657281095260e+03,2.266337879956618963e+03
4.009204437727611548e+03,2.363175015782727769e+03
4.012167607568984749e+03,2.440619976027030134e+03
4.013847486044652214e+03,2.514513480186216839e+03
4.020661207129361628e+03,2.550766936564375555e+03
4.021626916168218941e+03,2.563115823245851971e+03
4.024042203670196159e+03,2.592019292475734346e+03
4.027634269171926462e+03,2.579957000901029460e+03
4.029078712561796237e+03,2.605716081908662090e+03
4.037931346202296481e+03,2.612245799576547597e+03
4.038436451041726286e+03,2.622256015013814704e+03
4.040430548311919210e+03,2.673922416432998943e+03
4.051104896040772928e+03,2.737742107953017694e+03
4.054633209988647195e+03,2.916015379066380774e+03
4.061360376202906082e+03,2.817492439519347954e+03
4.070419706242273605e+03,2.878099674840613716e+03
4.079880265529847748e+03,3.185422091004065805e+03
4.083678815867888716e+03,3.427013492574008524e+03
4.089342353052823000e+03,3.557452466696811825e+03
4.090358666973573236e+03,3.555868868554507571e+03
4.092276026930570424e+03,3.532349015054735901e+03
4.094870327639226161e+03,3.399492465347347661e+03
4.106530804804136096e+03,3.610448678981645116e+03
4.114750632845546534e+03,3.971005369385946324e+03
4.118327510715482276e+03,3.927737066666961709e+03
4.123908422825043999e+03,3.893247016876549878e+03
4.126013535933515413e+03,3.909663907257371193e+03
4.128002685001436475e+03,3.863148283559743504e+03
4.136548332480670979e+03,4.065295604224257659e+03
4.141076408490275753e+03,4.122172817328221754e+03
4.147863982615344867e+03,3.996836269465358782e+03
4.154149968516717308e+03,4.133357671774884693e+03
4.163777358669573005e+03,4.612278331190710560e+03
4.171374281681344655e+03,4.557356427257056566e+03
4.180916077965960540e+03,4.520339502327696209e+03
4.186218746486793862e+03,4.629025221781598702e+03
4.186861104635334414e+03,4.653470602581650382e+03
4.193800659932951021e+03,4.708898884975616056e+03
4.195395655121909840e+03,4.684891579921228185e+03
4.206809139749494534e+03,4.844135215923959549e+03
4.210234320904315609e+03,4.929281183498390419e+03
4.213507691151339714e+03,4.991754745442476633e+03
4.219555358605047331e+03,4.826259745188822308e+03
4.222068392654660784e+03,4.671034324134137933e+03
4.232269612463743215e+03,4.638692877793338084e+03
4.238379551894108772e+03,4.954946684765798636e+03
4.242396424632634989e+03,5.281504812812851014e+03
4.257962290432939881e+03,5.420833640669600754e+03
4.267360525216317910e+03,5.661371350305917986e+03
4.280275931837398275e+03,5.877578084500526529e+03
4.287742150985377521e+03,5.984501547736284010e+03
4.296532497543443242e+03,5.856702675952666141e+03
4.305089562626697443e+03,5.965844636586407432e+03
4.317471063238916940e+03,6.477919473602447397e+03
4.332893244991522806e+03,6.668923060565562992e+03
4.335387013897843644e+03,6.728205966367253495e+03
4.346449147090595943e+03,6.660486893238155972e+03
4.350162140442889722e+03,6.767420401948390463e+03
4.362513203533196247e+03,7.041053753279418743e+03
4.364783792472863752e+03,7.103254040602115310e+03
4.370210332519262920e+03,6.969854863695426502e+03
4.379001772674697349e+03,6.663667463329192287e+03
4.395479355303407829e+03,6.925572273680901162e+03
4.397745099138993282e+03,7.010600685790725038e+03
4.410827073555072275e+03,6.880397706421095791e+03
4.421115681854626018e+03,7.241877356590837735e+03
4.424486596576089141e+03,7.260370664472473436e+03
4.433394616743902588e+03,7.395221444487169720e+03
4.439765293405941520e+03,7.718227262033523402e+03
4.441105705419149672e+03,7.746028161912983705e+03
4.447361369520448534e+03,7.867882416308901156e+03
4.453321324476868540e+03,7.994261248303981120e+03
4.464952442982696084e+03,8.212504317197426644e+03
4.474315024038663978e+03,8.238636130150245663e+03
4.480146716806943004e+03,8.287048377479382907e+03
4.486360103968044314e+03,8.467710063888074728e+03
4.487475087707122839e+03,8.498987538163388308e+03
4.487864274774295154e+03,8.492272427907393649e+03
4.489533671329883873e+03,8.478224995199132536e+03
4.493241501914882065e+03,8.468975201230974562e+03
4.499473049858389459e+03,8.430546600911451605e+03
4.510021083212387566e+03,8.348670934764477352e+03
4.511758917594399463e+03,8.423506611230674025e+03
4.519937974669850519e+03,8.592113123304119654e+03
4.520126433161796740e+03,8.598264341363272251e+03
4.522637449807191842e+03,8.689408262285971432e+03
4.537808549321932333e+03,8.869370757590882931e+03
4.541147258955899815e+03,8.959377897288246459e+03
4.544640010122941931e+03,9.016275838922383628e+03
4.548552653324827588e+03,8.960986977475155072e+03
4.552506627399471654e+03,8.895465579608497137e+03
4.559398235282737915e+03,8.984158974889931415e+03
4.562121277555964298e+03,9.074004698647995610e+03
4.563171376118936678e+03,9.122877314339941222e+03
4.568974100092668778e+03,9.209013633550437589e+03
4.574608724404994064e+03,9.023761898061900865e+03
4.577180541500981235e+03,8.988836873015388846e+03
4.577943970112752140e+03,8.957311950989433171e+03
4.584315926074930758e+03,8.759305127906132839e+03
4.589923540841890826e+03,8.655233424278265375e+03
4.594741000457755035e+03,8.699783027022040187e+03
4.600430418661489966e+03,8.763556989970726136e+03
4.602725045748766206e+03,8.778013747673085163e+03
4.609492794191909525e+03,8.944225110229903294e+03
4.615931757155985906e+03,9.200110148979258156e+03
4.622287207208611107e+03,9.148582327365882520e+03
4.629014238051682696e+03,9.264402139347026605e+03
4.632458681653282838e+03,9.448964954106242658e+03
4.635526855873595196e+03,9.489233764559758129e+03
4.636145373719504278e+03,9.482603651676361551e+03
